****************************************************************************************************Id:0****************************************************************************************************
Id:0x00000001, Parent:-0x0000001, Miner: -1, Txns:0    , Time:0
Id:0x280e9bce, Parent:0x00000001, Miner: [Id:33   , Balance:46        ], Txns:1    , Time:932.3042517786023
Id:0x0bac504c, Parent:0x280e9bce, Miner: [Id:15   , Balance:0         ], Txns:1    , Time:2013.9996820871438
Id:0x6d3602be, Parent:0x0bac504c, Miner: [Id:7    , Balance:0         ], Txns:1    , Time:2645.43106591097
Id:0x0244820d, Parent:0x280e9bce, Miner: [Id:99   , Balance:79        ], Txns:1    , Time:2979.371618488216
Id:0x53b5924d, Parent:0x6d3602be, Miner: [Id:19   , Balance:0         ], Txns:1    , Time:3446.869936319662
Id:0x55ae2a2c, Parent:0x0244820d, Miner: [Id:99   , Balance:79        ], Txns:2    , Time:3964.5645067195715
Id:0x6121ef2e, Parent:0x53b5924d, Miner: [Id:33   , Balance:46        ], Txns:1    , Time:5242.722109777665
Id:0x616210ac, Parent:0x55ae2a2c, Miner: [Id:99   , Balance:79        ], Txns:1    , Time:5529.078941060063
Id:0x3133ca61, Parent:0x6121ef2e, Miner: [Id:43   , Balance:5         ], Txns:1    , Time:6522.580192385735
Id:0x5300f099, Parent:0x616210ac, Miner: [Id:99   , Balance:79        ], Txns:1    , Time:6535.761688072473
Id:0x25c607ff, Parent:0x6121ef2e, Miner: [Id:37   , Balance:41        ], Txns:1    , Time:6556.103438814499
Id:0x4ed216f2, Parent:0x3133ca61, Miner: [Id:1    , Balance:7         ], Txns:1    , Time:7675.228498585775
Id:0x38a60498, Parent:0x5300f099, Miner: [Id:99   , Balance:79        ], Txns:2    , Time:8060.693643330334
Id:0x6505b00e, Parent:0x6d3602be, Miner: [Id:0    , Balance:129       ], Txns:1    , Time:8214.0832480597
Id:0x64d1b6b6, Parent:0x4ed216f2, Miner: [Id:2    , Balance:38        ], Txns:1    , Time:8440.664469482559
Id:0x039eef83, Parent:0x3133ca61, Miner: [Id:64   , Balance:0         ], Txns:1    , Time:8477.948190526884
Id:0x047cbf7f, Parent:0x38a60498, Miner: [Id:99   , Balance:79        ], Txns:2    , Time:8917.356260180768
Id:0x43622977, Parent:0x4ed216f2, Miner: [Id:68   , Balance:0         ], Txns:1    , Time:8946.464902088162
Id:0x291be237, Parent:0x4ed216f2, Miner: [Id:88   , Balance:49        ], Txns:1    , Time:9322.887248682959
Id:0x5a3f975e, Parent:0x4ed216f2, Miner: [Id:46   , Balance:52        ], Txns:1    , Time:9764.070832364076
Id:0x43723e9c, Parent:0x291be237, Miner: [Id:86   , Balance:29        ], Txns:1    , Time:9927.770983177154
Id:0x7206c30c, Parent:0x047cbf7f, Miner: [Id:99   , Balance:79        ], Txns:1    , Time:10171.15141672057
Id:0x480f6e1d, Parent:0x64d1b6b6, Miner: [Id:0    , Balance:129       ], Txns:1    , Time:10315.781710779982
Id:0x4a18b18f, Parent:0x43723e9c, Miner: [Id:28   , Balance:42        ], Txns:1    , Time:11217.933744971431
Id:0x4dc53f3e, Parent:0x43723e9c, Miner: [Id:57   , Balance:0         ], Txns:1    , Time:11234.925090721083
Id:0x6c2cf266, Parent:0x7206c30c, Miner: [Id:99   , Balance:79        ], Txns:2    , Time:11413.557606232047
Id:0x2bedc730, Parent:0x4dc53f3e, Miner: [Id:95   , Balance:126       ], Txns:1    , Time:11711.552631861145
Id:0x62acff2b, Parent:0x4a18b18f, Miner: [Id:31   , Balance:0         ], Txns:1    , Time:11943.82324087228
Id:0x47fa9f5e, Parent:0x6c2cf266, Miner: [Id:99   , Balance:79        ], Txns:2    , Time:11982.105821491457
Id:0x1d3aeb61, Parent:0x4dc53f3e, Miner: [Id:13   , Balance:0         ], Txns:1    , Time:12156.327935894411
