****************************************************************************************************Id:0****************************************************************************************************
Id:1,Parent:block.pbid.bid, Miner:-1, Txns:0, Time:0
Id:1636725403,Parent:block.pbid.bid, Miner:(Id:5), Txns:1, Time:317.25991730776644
Id:1968388682,Parent:block.pbid.bid, Miner:(Id:5), Txns:1, Time:464.85472781810824
Id:512883607,Parent:block.pbid.bid, Miner:(Id:4), Txns:1, Time:624.3436800807733
Id:395791791,Parent:block.pbid.bid, Miner:(Id:4), Txns:1, Time:627.6088735475283
Id:1931102667,Parent:block.pbid.bid, Miner:(Id:4), Txns:1, Time:759.2706874777027
Id:1577242326,Parent:block.pbid.bid, Miner:(Id:5), Txns:1, Time:760.4083257187353
Id:1727779919,Parent:block.pbid.bid, Miner:(Id:1), Txns:1, Time:908.0591452567564
Id:140643530,Parent:block.pbid.bid, Miner:(Id:4), Txns:1, Time:1019.7598775431082
Id:265138122,Parent:block.pbid.bid, Miner:(Id:5), Txns:1, Time:1348.7380985120517
Id:129623360,Parent:block.pbid.bid, Miner:(Id:5), Txns:1, Time:1426.170780484118
Id:684183027,Parent:block.pbid.bid, Miner:(Id:5), Txns:1, Time:1485.9692418506852
Id:603659987,Parent:block.pbid.bid, Miner:(Id:1), Txns:1, Time:1604.3251113904396
Id:808824741,Parent:block.pbid.bid, Miner:(Id:4), Txns:1, Time:1688.2510237622125
Id:170007759,Parent:block.pbid.bid, Miner:(Id:7), Txns:1, Time:1767.2021454952637
Id:1351956616,Parent:block.pbid.bid, Miner:(Id:1), Txns:1, Time:1799.303847311237
Id:157126723,Parent:block.pbid.bid, Miner:(Id:5), Txns:1, Time:1893.5649167658764
Id:284295910,Parent:block.pbid.bid, Miner:(Id:4), Txns:1, Time:1935.3629553998544
Id:227648853,Parent:block.pbid.bid, Miner:(Id:1), Txns:1, Time:1973.7534466510715
Id:1499821507,Parent:block.pbid.bid, Miner:(Id:4), Txns:4, Time:1975.011966320646
Id:1095903731,Parent:block.pbid.bid, Miner:(Id:1), Txns:1, Time:1997.8845824258842
Id:2053129593,Parent:block.pbid.bid, Miner:(Id:8), Txns:1, Time:2006.765772286026
Id:1092121799,Parent:block.pbid.bid, Miner:(Id:5), Txns:1, Time:2044.905788613029
Id:673196010,Parent:block.pbid.bid, Miner:(Id:5), Txns:1, Time:2118.59116962612
Id:2094245248,Parent:block.pbid.bid, Miner:(Id:7), Txns:1, Time:2156.706480462046
Id:834681916,Parent:block.pbid.bid, Miner:(Id:4), Txns:3, Time:2175.1658580385
Id:74973378,Parent:block.pbid.bid, Miner:(Id:1), Txns:1, Time:2217.9157114651907
Id:2139511110,Parent:block.pbid.bid, Miner:(Id:1), Txns:1, Time:2305.577088417186
Id:1451810884,Parent:block.pbid.bid, Miner:(Id:7), Txns:2, Time:2314.5067440090174
Id:2114692578,Parent:block.pbid.bid, Miner:(Id:9), Txns:1, Time:2317.421844601887
Id:120302123,Parent:block.pbid.bid, Miner:(Id:8), Txns:1, Time:2327.613499255161
Id:1115198972,Parent:block.pbid.bid, Miner:(Id:5), Txns:1, Time:2350.26204892548
Id:1934594592,Parent:block.pbid.bid, Miner:(Id:1), Txns:1, Time:2375.4416379778804
Id:380026235,Parent:block.pbid.bid, Miner:(Id:5), Txns:1, Time:2396.191274876727
Id:333392381,Parent:block.pbid.bid, Miner:(Id:2), Txns:1, Time:2405.608866450607
Id:1350661937,Parent:block.pbid.bid, Miner:(Id:7), Txns:1, Time:2464.0532691418807
Id:1519075592,Parent:block.pbid.bid, Miner:(Id:1), Txns:1, Time:2570.4852603810577
Id:1720354957,Parent:block.pbid.bid, Miner:(Id:5), Txns:1, Time:2581.090164514873
Id:416300838,Parent:block.pbid.bid, Miner:(Id:5), Txns:1, Time:2623.4154703140275
Id:25363228,Parent:block.pbid.bid, Miner:(Id:4), Txns:2, Time:2625.6312477508395
Id:1751175756,Parent:block.pbid.bid, Miner:(Id:5), Txns:1, Time:2700.406466264385
Id:97460557,Parent:block.pbid.bid, Miner:(Id:7), Txns:3, Time:2701.5447131863466
Id:1172636511,Parent:block.pbid.bid, Miner:(Id:3), Txns:1, Time:2739.92664959963
Id:1882304279,Parent:block.pbid.bid, Miner:(Id:5), Txns:2, Time:2750.8614762031443
Id:1553007691,Parent:block.pbid.bid, Miner:(Id:4), Txns:1, Time:2762.196001700948
Id:1630027715,Parent:block.pbid.bid, Miner:(Id:1), Txns:1, Time:2770.296702949716
Id:1907873377,Parent:block.pbid.bid, Miner:(Id:5), Txns:2, Time:2771.878424095961
Id:1771494108,Parent:block.pbid.bid, Miner:(Id:9), Txns:1, Time:2791.3523495213117
Id:230413297,Parent:block.pbid.bid, Miner:(Id:8), Txns:2, Time:2799.03655980186
Id:1332095963,Parent:block.pbid.bid, Miner:(Id:1), Txns:1, Time:2800.5290105805625
Id:602253239,Parent:block.pbid.bid, Miner:(Id:5), Txns:2, Time:2853.8721085903912
Id:186787138,Parent:block.pbid.bid, Miner:(Id:9), Txns:1, Time:2868.910056013962
Id:1088758552,Parent:block.pbid.bid, Miner:(Id:5), Txns:1, Time:2869.4048855700557
Id:1772900572,Parent:block.pbid.bid, Miner:(Id:8), Txns:2, Time:2871.371222262324
Id:1465831432,Parent:block.pbid.bid, Miner:(Id:5), Txns:2, Time:2876.989970041011
Id:665520462,Parent:block.pbid.bid, Miner:(Id:3), Txns:1, Time:2878.819715720999
Id:129162786,Parent:block.pbid.bid, Miner:(Id:8), Txns:2, Time:2885.55142803914
Id:1625272103,Parent:block.pbid.bid, Miner:(Id:2), Txns:1, Time:2913.4522705971176
Id:221446176,Parent:block.pbid.bid, Miner:(Id:5), Txns:2, Time:2921.4342823748625
Id:653956941,Parent:block.pbid.bid, Miner:(Id:9), Txns:1, Time:2926.687316300044
Id:1426018491,Parent:block.pbid.bid, Miner:(Id:4), Txns:2, Time:2940.85507555889
Id:1670010329,Parent:block.pbid.bid, Miner:(Id:8), Txns:1, Time:2982.4549050880096
Id:1403270867,Parent:block.pbid.bid, Miner:(Id:7), Txns:2, Time:3020.4967021143325
